make_model,body_type,km,gear_type,fuel_type,price
Opel Vivaro,Transporter,159989.0,Semi-automatic,Diesel,12700.0
Volkswagen Golf Variant,Station wagon,109483.0,Manuel,Diesel,15450.0
Opel Zafira Tourer,Van,231002.0,Manuel,Diesel,7600.0
Opel Mokka,Off-Road/Pick-up,,Manuel,Gasoline,12750.0
Opel Crossland X,Off-Road/Pick-up,15625.0,Automatic,Gasoline,21950.0
Volkswagen Tiguan,Off-Road/Pick-up,267505.0,Manuel,Gasoline,8845.0
Opel Combo,Transporter,73385.0,Semi-automatic,Gasoline,12945.0
Volkswagen Tiguan,Off-Road/Pick-up,104147.0,Automatic,Gasoline,18950.0
Volkswagen Golf Sportsvan,Van,,Automatic,Gasoline,29400.0
Volkswagen T-Roc,Off-Road/Pick-up,73433.0,Semi-automatic,Gasoline,19930.0
Volkswagen Golf GTI,,128400.0,Manuel,Gasoline,17950.0
Toyota Aygo,Compact,52468.0,Manuel,Gasoline,3895.0
Opel Astra,Van,220600.0,Manuel,Gasoline,6500.0
Volkswagen T6 Transporter,Transporter,198010.0,Automatic,Diesel,15900.0
Opel Vivaro,Transporter,161437.0,Semi-automatic,Diesel,10740.0
Volkswagen Transporter,Transporter,126123.0,Automatic,Diesel,17950.0
Opel Astra,Station wagon,218000.0,Manuel,Diesel,5950.0
Volkswagen Golf,Compact,64250.0,Automatic,,21950.0
Toyota Verso,Van,105646.0,Manuel,Gasoline,12900.0
Volkswagen Golf,Compact,83417.0,Automatic,Diesel,23999.0
Volkswagen Polo,Convertible,163754.0,Automatic,Diesel,7945.0
Toyota Corolla,Sedans,7.0,Manuel,Electric/Gasoline,33944.0
Toyota Auris,Compact,214054.0,Automatic,Electric/Gasoline,7250.0
Toyota Avensis,Station wagon,133659.0,Manuel,Diesel,19950.0
Toyota C-HR,Off-Road/Pick-up,45760.0,Automatic,Electric/Gasoline,21440.0
Opel Vivaro,Transporter,129705.0,Semi-automatic,Diesel,8495.0
Volkswagen CC,Sedans,119612.0,,Gasoline,12995.0
Tesla Model S,Compact,69000.0,Automatic,Electric,49911.0
Volkswagen Golf Variant,Station wagon,131439.0,Automatic,Diesel,14850.0
Volkswagen Golf,Station wagon,,Automatic,Diesel,13499.0
Toyota Mirai,Sedans,1000.0,Automatic,Other,76950.0
Toyota Aygo,Compact,68158.0,Semi-automatic,Gasoline,3495.0
Opel Astra,Station wagon,226778.0,,Gasoline,3750.0
Volkswagen Golf Variant,Station wagon,248909.0,Manuel,Diesel,3999.0
Opel Grandland X,Off-Road/Pick-up,29936.0,,Gasoline,29850.0
Opel Vivaro,Transporter,272539.0,Semi-automatic,Diesel,8750.0
Opel Mokka,Off-Road/Pick-up,79691.0,Manuel,Gasoline,13895.0
Volkswagen Golf,Compact,92919.0,Automatic,Gasoline,11250.0
Volkswagen Golf GTE,Compact,,Manuel,Electric/Gasoline,16779.0
Opel Astra,Compact,95043.0,Semi-automatic,Gasoline,5250.0
Toyota Proace,Transporter,456.0,Manuel,Diesel,16876.0
Volkswagen Touran,Van,,Semi-automatic,Gasoline,20700.0
Toyota Aygo,Compact,,Manuel,Gasoline,3199.0
Volkswagen Golf Variant,Station wagon,98477.0,Automatic,Gasoline,14950.0
Volkswagen Touareg,Off-Road/Pick-up,168097.0,Automatic,Gasoline,23750.0
Opel Grandland X,Off-Road/Pick-up,128962.0,Automatic,Gasoline,20445.0
Volkswagen Tiguan,Off-Road/Pick-up,92006.0,Semi-automatic,Gasoline,23500.0
Volkswagen Caddy,Transporter,93431.0,Automatic,Diesel,15900.0
Honda Jazz,Van,86790.0,Automatic,Gasoline,16950.0
Tesla Model 3,Sedans,4900.0,Semi-automatic,Electric,58500.0
Opel Astra,Station wagon,98994.0,Manuel,Gasoline,12350.0
Toyota Auris,Station wagon,63731.0,Manuel,Electric/Gasoline,16740.0
Toyota Yaris,Compact,,Automatic,Electric/Gasoline,10399.0
Opel Astra,Station wagon,142537.0,Manuel,Diesel,7950.0
Opel Astra,Station wagon,106177.0,Manuel,Gasoline,15500.0
Volkswagen Golf,Compact,121553.0,Manuel,Electric/Gasoline,13197.0
Opel Vivaro,Transporter,66001.0,Semi-automatic,Diesel,13844.0
Opel Astra,Van,118000.0,Manuel,Gasoline,7495.0
Opel Mokka X,Off-Road/Pick-up,73619.0,Semi-automatic,Gasoline,16400.0
Volkswagen Golf,Station wagon,118000.0,Manuel,Gasoline,9495.0
Toyota Avensis,Station wagon,66182.0,Manuel,Gasoline,20950.0
Toyota Yaris,Compact,17096.0,Automatic,Gasoline,17795.0
Honda HR-V,Off-Road/Pick-up,21654.0,Manuel,Gasoline,24950.0
Volkswagen up!,Compact,122278.0,Semi-automatic,Gasoline,4750.0
Volkswagen up!,Sedans,184515.0,Manuel,Gasoline,4099.0
Toyota Auris,Station wagon,146732.0,Automatic,Electric/Gasoline,12495.0
Volkswagen Tiguan,,70945.0,,Gasoline,27950.0
Volkswagen Polo,Compact,140000.0,Manuel,Gasoline,4650.0
Opel Vivaro,Transporter,10.0,Manuel,Diesel,23279.0
Toyota Proace,Transporter,10.0,Manuel,Diesel,17900.0
Tesla Model S,Compact,12575.0,Manuel,Electric,89900.0
Tesla Model S,Compact,,Automatic,Electric,45450.0
Opel Mokka,Off-Road/Pick-up,77310.0,Manuel,Gasoline,15400.0
Opel Astra,Station wagon,207898.0,Manuel,Gasoline,4500.0
Opel Insignia,Station wagon,,Automatic,Gasoline,21940.0
Toyota Avensis,Station wagon,43633.0,Manuel,Gasoline,19950.0
Volkswagen Touran,Van,136756.0,Manuel,Diesel,13900.0
Volkswagen Golf,Compact,5666.0,Automatic,Gasoline,32889.0
Volkswagen Touran,Van,25763.0,Manuel,Gasoline,31995.0
Volkswagen T-Cross,Off-Road/Pick-up,,Automatic,Gasoline,24950.0
Opel Mokka,Off-Road/Pick-up,73861.0,Manuel,Gasoline,12950.0
Volkswagen Golf,Station wagon,143000.0,Automatic,Gasoline,15000.0
Volkswagen Golf Plus,Van,14378.0,Manuel,Gasoline,11900.0
Opel Astra,Station wagon,81000.0,,Diesel,11500.0
Volkswagen Golf Plus,Off-Road/Pick-up,154000.0,Automatic,Diesel,7350.0
Toyota Yaris,Van,143000.0,Semi-automatic,Gasoline,5495.0
Volkswagen Polo,Compact,139975.0,Automatic,Gasoline,8999.0
Volkswagen Golf,Compact,35721.0,,Gasoline,16900.0
Tesla Model S,Compact,136133.0,Automatic,,55995.0
Volkswagen Touareg,,326979.0,Automatic,Diesel,19950.0
Opel Ampera,Compact,16576.0,Automatic,Electric,27945.0
Volkswagen Caddy,Transporter,151865.0,Semi-automatic,Diesel,16446.0
Volkswagen Polo,Compact,114201.0,Automatic,Gasoline,9999.0
Volkswagen Touran,Van,63851.0,Semi-automatic,Gasoline,22950.0
Opel Vivaro,,66687.0,Semi-automatic,Diesel,12700.0
Volkswagen Passat Variant,Station wagon,191734.0,Automatic,Gasoline,10500.0
Opel Agila,Compact,35445.0,Automatic,Gasoline,10850.0
Volkswagen Golf Sportsvan,Van,44876.0,Manuel,Gasoline,16950.0
Volkswagen Golf Plus,Van,149215.0,Automatic,Gasoline,8600.0
Toyota Aygo,Compact,60103.0,Manuel,Gasoline,3999.0
Opel Grandland X,Off-Road/Pick-up,21964.0,Manuel,Gasoline,27450.0
Toyota Aygo,Compact,118798.0,Manuel,Gasoline,4900.0
Volkswagen Caddy,Transporter,17617.0,,Diesel,21900.0
Volkswagen Golf Variant,Station wagon,109794.0,Manuel,Diesel,11500.0
Toyota Aygo,Compact,148121.0,Manuel,Gasoline,3450.0
Opel Zafira,Van,95620.0,Semi-automatic,Gasoline,
Toyota Tundra,Other,12.0,Manuel,Gasoline,59950.0
Volkswagen Touran,Van,133233.0,Manuel,Gasoline,9950.0
Volkswagen Passat,Station wagon,230000.0,Automatic,Diesel,22400.0
Toyota Proace,Transporter,1500.0,Manuel,Electric,29995.0
Volkswagen Golf Variant,Sedans,118599.0,Automatic,Gasoline,13450.0
Volkswagen Polo,Compact,141707.0,Manuel,Diesel,6745.0
Opel Astra,Station wagon,72636.0,Semi-automatic,Gasoline,12940.0
Volkswagen ID.4,Off-Road/Pick-up,10.0,Automatic,Electric,48585.0
Opel Grandland X,Off-Road/Pick-up,9074.0,Manuel,Gasoline,32900.0
Toyota Aygo,Compact,10719.0,Automatic,Gasoline,12490.0
Volkswagen Sharan,Van,146372.0,Manuel,Gasoline,9944.0
Opel Corsa,,2711.0,Automatic,Electric,30950.0
Volkswagen Golf GTI,Compact,37037.0,Manuel,Gasoline,24950.0
Volkswagen Tiguan,Off-Road/Pick-up,,Semi-automatic,Gasoline,22950.0
Volkswagen Polo,Compact,247519.0,Manuel,Diesel,4250.0
Opel Mokka,Off-Road/Pick-up,0.0,Automatic,Electric,35318.0
Opel Astra,Compact,11862.0,Automatic,Gasoline,26950.0
Volkswagen Polo,Compact,19744.0,Automatic,Gasoline,23950.0
Toyota Proace,Transporter,20000.0,Manuel,Diesel,20950.0
Volkswagen Touran,Van,58051.0,Automatic,Gasoline,24895.0
Volkswagen Golf,Compact,172373.0,Automatic,Gasoline,11544.0
Volkswagen T6 Transporter,Transporter,163994.0,Semi-automatic,Diesel,16400.0
Toyota Corolla,Station wagon,6463.0,Manuel,Electric/Gasoline,24950.0
Toyota Yaris,Compact,53922.0,Automatic,Electric/Gasoline,9945.0
Volkswagen Jetta,Sedans,181813.0,Manuel,Gasoline,5500.0
Volkswagen Golf Variant,Station wagon,,Manuel,Diesel,6950.0
Volkswagen Touran,Van,114845.0,Semi-automatic,Gasoline,19950.0
Opel Corsa,Compact,186913.0,Semi-automatic,Diesel,3199.0
Volkswagen Touran,Van,59901.0,Automatic,Diesel,25945.0
Volkswagen Golf Variant,Station wagon,102333.0,Automatic,Diesel,23945.0
Opel Insignia,Station wagon,,Automatic,Gasoline,13950.0
Volkswagen Passat,Sedans,117096.0,Manuel,Gasoline,17450.0
Opel Corsa,Compact,1.0,Manuel,Electric,26275.0
Volkswagen Golf,Compact,15538.0,Automatic,Electric,16900.0
Opel Ampera,Compact,145195.0,Manuel,Electric/Gasoline,8950.0
Toyota Verso,Van,122808.0,Manuel,Gasoline,11900.0
Volkswagen Golf Sportsvan,Van,97005.0,Automatic,Gasoline,20850.0
Volkswagen Sharan,Van,90890.0,Automatic,Gasoline,22450.0
Volkswagen ID.4,Off-Road/Pick-up,,Automatic,Electric,48585.0
Volkswagen Golf Variant,Station wagon,71717.0,Manuel,Gasoline,12941.0
Toyota Land Cruiser,Off-Road/Pick-up,250.0,Automatic,Diesel,74995.0
Volkswagen Caddy,Transporter,108819.0,Semi-automatic,Diesel,9750.0
Volkswagen Golf Variant,Station wagon,118950.0,Automatic,Diesel,16950.0
Volkswagen ID.3,Compact,1650.0,Manuel,Electric,29695.0
Volkswagen CC,Sedans,166185.0,Automatic,Gasoline,13950.0
Volkswagen Passat Variant,Station wagon,129645.0,Manuel,Electric/Gasoline,17900.0
Volkswagen Golf,Station wagon,156000.0,Automatic,Gasoline,16250.0
Toyota Aygo,Compact,79634.0,Automatic,Gasoline,6490.0
Volkswagen Touran,Van,195000.0,Semi-automatic,,8450.0
Opel Insignia,Compact,9999.0,Manuel,,42445.0
Volkswagen Tiguan,Off-Road/Pick-up,91953.0,Semi-automatic,Gasoline,14950.0
Volkswagen Passat Variant,Station wagon,131913.0,Automatic,Diesel,19845.0
Volkswagen Golf Plus,Van,84190.0,Automatic,Gasoline,12450.0
Volkswagen T-Roc,Off-Road/Pick-up,82730.0,Semi-automatic,Gasoline,22450.0
Opel Corsa,Compact,5.0,Automatic,Electric,30656.0
Honda Jazz,Van,129120.0,Automatic,Electric/Gasoline,10400.0
Volkswagen Polo,Compact,175909.0,Semi-automatic,Diesel,7480.0
Opel Grandland X,Off-Road/Pick-up,10.0,Automatic,Electric/Gasoline,42649.0
Toyota Auris,Station wagon,60913.0,Manuel,Gasoline,15400.0
Opel Meriva,Van,147805.0,Manuel,Gasoline,5785.0
Toyota Auris,Station wagon,135778.0,Automatic,Electric/Gasoline,12450.0
Toyota Yaris,Compact,76863.0,Automatic,Electric/Gasoline,10500.0
Opel Grandland X,Off-Road/Pick-up,41927.0,Automatic,Gasoline,25945.0
Opel Meriva,Other,92798.0,Manuel,Gasoline,14999.0
Opel Mokka X,Off-Road/Pick-up,28348.0,Automatic,Gasoline,20940.0
Toyota Auris,Compact,180589.0,Manuel,Electric/Gasoline,8250.0
Toyota Land Cruiser,Off-Road/Pick-up,,Automatic,Diesel,26995.0
Volkswagen Caddy,Other,176857.0,Manuel,Diesel,13950.0
Volkswagen Tiguan,Off-Road/Pick-up,,Manuel,Gasoline,10950.0
Honda Civic,Compact,47158.0,Manuel,Gasoline,8500.0
Volkswagen Caddy,Transporter,158271.0,Semi-automatic,Diesel,9450.0
Toyota Yaris,Compact,26202.0,Automatic,Gasoline,16900.0
Toyota C-HR,Off-Road/Pick-up,90483.0,Automatic,Electric/Gasoline,20390.0
Volkswagen Polo,Compact,,Automatic,Diesel,9750.0
Volkswagen Crafter,Transporter,270744.0,Manuel,Diesel,7950.0
Volkswagen Golf Variant,Station wagon,110306.0,Automatic,Gasoline,13445.0
Toyota RAV 4,Off-Road/Pick-up,96937.0,,,23900.0
Volkswagen Golf Variant,Station wagon,48473.0,Automatic,Gasoline,14450.0
Toyota Yaris,Compact,157135.0,Manuel,Gasoline,4295.0
Volkswagen Arteon,Sedans,18544.0,Automatic,Gasoline,42994.0
Volkswagen Golf,Station wagon,160000.0,Automatic,,10500.0
Toyota Avensis,Station wagon,72774.0,Manuel,Gasoline,14949.0
Honda Jazz,Van,38330.0,Semi-automatic,Gasoline,12250.0
Volkswagen T-Cross,Off-Road/Pick-up,5668.0,Automatic,Gasoline,26900.0
Toyota Verso-S,Van,,,Gasoline,8950.0
Volkswagen Golf Plus,Van,102100.0,Automatic,Gasoline,11950.0
Toyota Avensis,Station wagon,85702.0,Automatic,Gasoline,22950.0
Toyota Aygo,Compact,117467.0,Manuel,Gasoline,3750.0
Volkswagen T-Roc,Other,14927.0,Automatic,Gasoline,
Volkswagen ID.4,Off-Road/Pick-up,1.0,Automatic,Electric,41487.0
Volkswagen Golf,Compact,,Manuel,Gasoline,14385.0
Opel Meriva,Van,,Semi-automatic,Gasoline,7950.0
Tesla Model S,Compact,156175.0,Automatic,Electric,59999.0
Opel Astra,Compact,60018.0,Automatic,Gasoline,9940.0
Opel Vivaro,Transporter,134372.0,Semi-automatic,Diesel,10950.0
Toyota Aygo,Compact,126494.0,Manuel,Gasoline,4244.0
Volkswagen Golf,Compact,142294.0,Semi-automatic,Gasoline,13490.0
Volkswagen Golf,Compact,12251.0,Automatic,Electric,23945.0
Volkswagen Tiguan,Off-Road/Pick-up,6.0,Manuel,Gasoline,44900.0
Opel Mokka X,Van,49739.0,Automatic,Gasoline,19500.0
Volkswagen Golf,Station wagon,200000.0,Automatic,,10500.0
Volkswagen Golf Sportsvan,Van,15811.0,Automatic,Gasoline,28900.0
Toyota Aygo,Compact,138907.0,Manuel,Gasoline,4495.0
Volkswagen Passat Variant,Station wagon,161785.0,Automatic,Gasoline,14950.0
Opel Combo,Transporter,54373.0,Semi-automatic,Diesel,7230.0
Opel Adam,Convertible,26333.0,Manuel,Gasoline,11445.0
Tesla Model S,Compact,130855.0,Automatic,Electric,53950.0
Opel Crossland X,Off-Road/Pick-up,19781.0,Automatic,Gasoline,19345.0
Opel Vivaro,Transporter,1.0,Manuel,Electric,43385.0
Volkswagen Polo,Compact,301169.0,Manuel,,3995.0
Volkswagen Amarok,Off-Road/Pick-up,182363.0,Semi-automatic,Diesel,13950.0
Opel Ampera,Compact,4298.0,Automatic,Electric,35945.0
Opel Corsa,Compact,27662.0,Automatic,Electric,28900.0
Volkswagen Golf Variant,Station wagon,52041.0,Manuel,Gasoline,18944.0
Volkswagen Passat Variant,Station wagon,155542.0,Automatic,Diesel,17450.0
Toyota Prius,Compact,135258.0,,,9750.0
Volkswagen T-Roc,Convertible,,Automatic,Gasoline,38950.0
Opel Crossland X,Off-Road/Pick-up,23240.0,Semi-automatic,Gasoline,16445.0
Toyota Land Cruiser,Off-Road/Pick-up,,Automatic,Diesel,42995.0
Opel Vivaro,Transporter,159704.0,Semi-automatic,Diesel,10500.0
Toyota Avensis,Station wagon,97163.0,Manuel,Gasoline,18295.0
Volkswagen Golf Plus,Van,107910.0,Manuel,Gasoline,9450.0
Toyota Land Cruiser,Off-Road/Pick-up,250.0,Automatic,Diesel,44295.0
Volkswagen Passat,Station wagon,116510.0,Manuel,Diesel,16450.0
Honda e,Compact,2885.0,Manuel,Electric,29950.0
Volkswagen T-Cross,Off-Road/Pick-up,3217.0,Manuel,Gasoline,28900.0
Volkswagen Jetta,Sedans,181000.0,Automatic,Gasoline,8500.0
Tesla Model S,Compact,53751.0,Automatic,Electric,49950.0
Volkswagen Golf,Station wagon,203000.0,Manuel,Diesel,8000.0
Honda Jazz,Compact,64176.0,Automatic,Gasoline,16900.0
Volkswagen Passat Variant,Station wagon,125992.0,,Electric/Gasoline,20487.0
Volkswagen Polo,Compact,244603.0,Manuel,Diesel,4290.0
Volkswagen Golf,Station wagon,150000.0,Manuel,Gasoline,6500.0
Volkswagen up!,Compact,1030.0,Automatic,Electric,22900.0
Volkswagen Tiguan,Off-Road/Pick-up,,Automatic,Gasoline,26950.0
Opel Meriva,Van,94126.0,Automatic,Gasoline,11940.0
Opel Corsa,Compact,5.0,Automatic,Gasoline,26400.0
Opel Astra,Station wagon,194853.0,Manuel,Gasoline,3999.0
Opel Astra,Compact,190000.0,Semi-automatic,Other,5700.0
Volkswagen Passat,Sedans,180619.0,Automatic,Electric/Gasoline,13174.0
Toyota Auris,Station wagon,87375.0,Automatic,Electric/Gasoline,14945.0
Volkswagen Caddy,Transporter,29582.0,Manuel,Gasoline,13900.0
Tesla Model 3,Compact,14483.0,Automatic,,49999.0
Volkswagen Passat Variant,Station wagon,169107.0,Automatic,Diesel,14950.0
Volkswagen Passat,Sedans,,Automatic,Gasoline,26750.0
Volkswagen Golf Variant,Station wagon,127649.0,Manuel,Gasoline,14900.0
Volkswagen Golf Variant,Station wagon,,Manuel,Diesel,5950.0
Volkswagen Tiguan,Off-Road/Pick-up,45610.0,Semi-automatic,Gasoline,18999.0
Volkswagen Transporter,Transporter,123388.0,Automatic,Diesel,20950.0
Opel Astra,Compact,,Manuel,Diesel,10500.0
Opel Grandland X,Off-Road/Pick-up,26.0,Automatic,Electric/Gasoline,43050.0
Opel Zafira,Van,62761.0,Automatic,Gasoline,23950.0
Opel Combo,Transporter,144330.0,Semi-automatic,Diesel,7950.0
Opel Mokka,Off-Road/Pick-up,64800.0,Manuel,Gasoline,13750.0
Toyota Avensis,Station wagon,100567.0,,Gasoline,10940.0
Volkswagen Touran,Van,192991.0,Semi-automatic,Other,7950.0
Volkswagen T-Cross,Off-Road/Pick-up,43245.0,Semi-automatic,Gasoline,20950.0
Toyota RAV 4,Off-Road/Pick-up,94461.0,Manuel,,19999.0
Volkswagen T5 Transporter,Transporter,258706.0,Automatic,Diesel,11900.0
Opel Ampera,Compact,,Automatic,Electric,26500.0
Volkswagen Golf,Compact,17100.0,Manuel,Electric,27495.0
Toyota Yaris,Compact,145173.0,Automatic,Electric/Gasoline,9850.0
Volkswagen Golf Sportsvan,Van,26015.0,Manuel,Gasoline,15900.0
Volkswagen Touran,Van,208370.0,Semi-automatic,Diesel,6950.0
Opel Astra,Station wagon,173026.0,Manuel,Diesel,8880.0
Opel Agila,Compact,35934.0,Semi-automatic,Gasoline,5750.0
Toyota Proace,Van,74311.0,Semi-automatic,Diesel,16440.0
Volkswagen Tiguan,Off-Road/Pick-up,96543.0,Manuel,Gasoline,14500.0
Opel Cascada,Convertible,69546.0,,Gasoline,14950.0
Honda Civic,Compact,133042.0,Manuel,Gasoline,10950.0
Volkswagen Polo,Compact,196797.0,Automatic,Gasoline,7450.0
Opel Astra,Van,144000.0,Manuel,Gasoline,5100.0
Opel Astra,Station wagon,153000.0,Manuel,Gasoline,11250.0
Volkswagen Golf Sportsvan,Van,30339.0,Automatic,Gasoline,24400.0
Volkswagen Polo,Compact,132570.0,Manuel,Diesel,9900.0
Volkswagen Golf,Compact,,Manuel,Gasoline,12435.0
Toyota Corolla,Compact,15925.0,,Electric,21795.0
Volkswagen Golf Variant,Station wagon,67607.0,Manuel,Gasoline,8400.0
Volkswagen Golf,Compact,191865.0,Automatic,Gasoline,7900.0
Toyota C-HR,Off-Road/Pick-up,19483.0,Manuel,Electric/Gasoline,23745.0
Volkswagen Golf,Compact,19306.0,Automatic,Electric,22900.0
Opel Mokka,Off-Road/Pick-up,96464.0,Manuel,Gasoline,12450.0
Toyota Yaris,Compact,47209.0,Automatic,Gasoline,11950.0
Volkswagen Passat Variant,Station wagon,205361.0,Manuel,Diesel,7890.0
Opel Corsa,Van,160500.0,Semi-automatic,Diesel,3950.0
Opel Insignia,Station wagon,189469.0,Manuel,Gasoline,8950.0
Opel Insignia,Station wagon,,Manuel,Diesel,8450.0
Opel Corsa,Compact,88443.0,Manuel,Diesel,8950.0
Volkswagen Polo,Compact,105626.0,Manuel,Gasoline,10750.0
Opel Crossland X,Off-Road/Pick-up,98935.0,Manuel,,13750.0
Opel Vivaro,Transporter,157785.0,,,9880.0
Volkswagen Polo,Convertible,,Automatic,Diesel,7900.0
Volkswagen T-Roc,Off-Road/Pick-up,74219.0,Semi-automatic,Gasoline,19950.0
Opel Corsa,Van,85000.0,Manuel,Gasoline,7900.0
Toyota Verso,Van,129760.0,Automatic,Gasoline,16444.0
Toyota Yaris,Compact,11809.0,Automatic,Gasoline,19250.0
Volkswagen Golf,,152000.0,Automatic,Diesel,12990.0
Volkswagen Touran,Van,66575.0,Manuel,Gasoline,16551.0
Opel Agila,Compact,24658.0,Automatic,Gasoline,10950.0
Volkswagen Golf,Station wagon,199080.0,Manuel,Diesel,8750.0
Volkswagen Golf Variant,Station wagon,246079.0,Manuel,Diesel,7945.0
Volkswagen Golf,Station wagon,,Manuel,Gasoline,8500.0
Volkswagen Golf Sportsvan,Van,33835.0,Manuel,Gasoline,21949.0
Volkswagen Caddy,Transporter,227554.0,Manuel,Diesel,
Toyota Aygo,Sedans,120000.0,Semi-automatic,Gasoline,4500.0
Volkswagen Caddy,Transporter,169523.0,,Diesel,7850.0
Toyota Prius+,Van,165200.0,Automatic,Electric/Gasoline,12990.0
Volkswagen Golf Variant,Station wagon,90023.0,Semi-automatic,,13950.0
Opel Astra,Station wagon,220865.0,Manuel,Gasoline,5950.0
Toyota Aygo,Compact,123827.0,Manuel,Gasoline,
Opel Zafira,Van,59221.0,Automatic,Gasoline,21450.0
Opel Astra,Station wagon,5230.0,Automatic,Gasoline,26945.0
Toyota Auris,Compact,16376.0,Manuel,Gasoline,16650.0
Volkswagen Golf Variant,Station wagon,,,Diesel,11450.0
Tesla Model 3,Compact,19547.0,Automatic,Electric,49950.0
Volkswagen Golf Sportsvan,Van,52914.0,,Gasoline,18995.0
Opel Vivaro,Transporter,164078.0,Semi-automatic,Diesel,10950.0
Toyota C-HR,Off-Road/Pick-up,25766.0,Manuel,Electric/Gasoline,23895.0
Volkswagen Caddy,Van,171821.0,Manuel,Diesel,
Volkswagen Touran,Van,159634.0,Automatic,,10500.0
Opel Astra,Station wagon,16603.0,Manuel,Gasoline,21445.0
Opel Mokka,Off-Road/Pick-up,111804.0,Manuel,Gasoline,11450.0
Toyota Prius,Compact,,,Electric/Gasoline,8495.0
Opel Zafira Tourer,Van,118637.0,Automatic,Gasoline,14750.0
Volkswagen Transporter,Transporter,479500.0,Automatic,Diesel,7450.0
Opel Corsa,Compact,1.0,Automatic,Electric,26675.0
Volkswagen Amarok,Off-Road/Pick-up,8300.0,Automatic,Diesel,41995.0
Opel Astra,Compact,96000.0,Manuel,,10000.0
Toyota Aygo,Compact,94899.0,Manuel,Gasoline,4995.0
Opel Corsa,Compact,19600.0,Manuel,Diesel,5599.0
Volkswagen Jetta,Sedans,206022.0,Automatic,Electric/Gasoline,8945.0
Honda CR-V,Off-Road/Pick-up,24527.0,Manuel,,27500.0
Toyota Prius,Compact,162791.0,Automatic,Electric/Gasoline,8900.0
Opel Corsa,Compact,1.0,Automatic,Electric,31900.0
Opel Ampera,Compact,,Manuel,Electric/Gasoline,12900.0
Opel Astra,Station wagon,126328.0,Manuel,Gasoline,5900.0
Opel Corsa,Compact,25.0,Automatic,Electric,32386.0
Opel Corsa,Compact,168842.0,Manuel,Gasoline,4750.0
Toyota Proace,Transporter,45106.0,Manuel,Diesel,17950.0
Opel Astra,Station wagon,55980.0,Manuel,Gasoline,11950.0
Volkswagen ID.4,Off-Road/Pick-up,10.0,Automatic,Electric,48585.0
Opel Corsa,Compact,46670.0,Manuel,Gasoline,5949.0
Volkswagen Golf Variant,Station wagon,140878.0,Automatic,Diesel,10995.0
Volkswagen Golf,Compact,59010.0,Automatic,Electric,22920.0
Volkswagen Golf Variant,Station wagon,43362.0,Automatic,Diesel,22880.0
Toyota Auris,Compact,180574.0,Automatic,Electric/Gasoline,10900.0
Toyota Tundra,Off-Road/Pick-up,160971.0,Manuel,Other,38899.0
Opel Agila,Compact,59736.0,Semi-automatic,Gasoline,5750.0
Volkswagen Golf,Compact,15785.0,Manuel,Gasoline,19333.0
Opel Vivaro,Transporter,10.0,Automatic,Electric,
Honda Civic,Sedans,313368.0,Manuel,Electric/Gasoline,4250.0
Toyota Corolla,Station wagon,22489.0,Manuel,Electric/Gasoline,24625.0
Opel Grandland X,Off-Road/Pick-up,5000.0,Automatic,,38500.0
Opel Corsa,Compact,61412.0,Manuel,Diesel,
Toyota Proace,Transporter,5882.0,Manuel,Diesel,17999.0
Volkswagen Passat Variant,Station wagon,136236.0,Automatic,Diesel,21900.0
Opel Astra,Station wagon,95331.0,Manuel,Gasoline,7299.0
Toyota Auris,Station wagon,20500.0,Manuel,,22985.0
Toyota Land Cruiser,Off-Road/Pick-up,20.0,Automatic,Diesel,52500.0
Volkswagen Golf,,132933.0,Manuel,Electric/Gasoline,16750.0
Opel Astra,Station wagon,68420.0,Manuel,Gasoline,9199.0
Opel Corsa,Compact,196774.0,Manuel,Diesel,5250.0
Toyota Aygo,Compact,,Automatic,Gasoline,9450.0
Toyota Auris,Compact,97646.0,Manuel,Gasoline,10450.0
Toyota C-HR,Off-Road/Pick-up,106579.0,Manuel,Electric/Gasoline,19545.0
Opel Astra,Station wagon,190695.0,Manuel,Diesel,6400.0
Volkswagen Transporter,Transporter,222000.0,Semi-automatic,Diesel,9450.0
Volkswagen Caddy,Transporter,140474.0,Semi-automatic,Diesel,8750.0
Opel Corsa,Compact,36787.0,Semi-automatic,Gasoline,10950.0
Opel Zafira,Van,107281.0,Semi-automatic,Gasoline,7950.0
Opel Mokka,Off-Road/Pick-up,90512.0,Manuel,Gasoline,14837.0
Volkswagen T5 Caravelle,Van,132000.0,,Diesel,32500.0
Volkswagen Golf,Station wagon,79967.0,Automatic,Gasoline,10900.0
Toyota Corolla,Station wagon,17540.0,Manuel,Electric/Gasoline,24950.0
Volkswagen Passat Variant,Station wagon,,Manuel,Diesel,14499.0
Opel Mokka X,Off-Road/Pick-up,66068.0,Automatic,Gasoline,17999.0
Opel Vivaro,,975.0,Manuel,,34950.0
Opel Astra,Compact,195718.0,Manuel,Gasoline,4950.0
Volkswagen Polo,Compact,261000.0,Manuel,Diesel,3999.0
Volkswagen up!,Compact,94547.0,Automatic,Gasoline,
Volkswagen Caddy,Transporter,68000.0,Manuel,Gasoline,9145.0
Volkswagen Passat Variant,Station wagon,144328.0,Manuel,Gasoline,9440.0
Opel Corsa,Van,204000.0,Semi-automatic,Other,3499.0
Tesla Model S,Compact,87994.0,Automatic,Electric,48999.0
