make_model,body_type,km,gear_type,fuel_type,price
Volkswagen T5 Transporter,Transporter,143128.0,Automatic,Diesel,19950.0
Toyota Yaris,Compact,55478.0,Automatic,Gasoline,8240.0
Volkswagen T-Cross,Off-Road/Pick-up,9662.0,,Gasoline,22900.0
Volkswagen Tiguan,Off-Road/Pick-up,60962.0,,Gasoline,26999.0
Toyota Auris,Station wagon,74584.0,,Electric/Gasoline,15440.0
Volkswagen Polo,Compact,,Semi-automatic,,4945.0
Volkswagen Polo,Compact,239895.0,Manuel,Diesel,4500.0
Toyota Aygo,Compact,27418.0,Automatic,,10500.0
Opel Meriva,Van,54049.0,Automatic,Gasoline,16940.0
Volkswagen Tiguan,Off-Road/Pick-up,109564.0,Manuel,Gasoline,11499.0
Volkswagen Tiguan,Off-Road/Pick-up,,Manuel,Gasoline,28950.0
Honda Civic,Compact,109572.0,Manuel,Gasoline,9800.0
Tesla Model S,Compact,22484.0,Automatic,,42950.0
Volkswagen Golf,Station wagon,115000.0,Manuel,,6000.0
Volkswagen Passat Variant,,158029.0,Manuel,Diesel,12950.0
Volkswagen Passat Variant,Station wagon,23734.0,Automatic,Diesel,35995.0
Volkswagen Golf,Compact,40125.0,Automatic,Electric,19888.0
Toyota Corolla,Station wagon,10.0,Manuel,Gasoline,29500.0
Toyota Aygo,Compact,,Manuel,Gasoline,3450.0
Toyota Aygo,Compact,124115.0,Semi-automatic,Other,4999.0
Volkswagen Polo,Compact,93282.0,Manuel,Gasoline,10950.0
Toyota C-HR,Off-Road/Pick-up,86900.0,Automatic,Electric/Gasoline,20400.0
Opel Astra,Station wagon,154177.0,Manuel,Gasoline,9900.0
Opel Mokka X,Off-Road/Pick-up,60239.0,Automatic,Gasoline,22695.0
Volkswagen Phaeton,Sedans,199280.0,Manuel,Diesel,11250.0
Volkswagen Polo,Compact,102615.0,Manuel,,9400.0
Tesla Model S,Compact,20956.0,Automatic,Electric,73900.0
Opel Cascada,Convertible,86331.0,Manuel,Gasoline,
Toyota Auris,Station wagon,45805.0,Manuel,Electric/Gasoline,18400.0
Volkswagen Golf Sportsvan,Van,,Automatic,Gasoline,18950.0
Opel Astra,,47243.0,Manuel,Diesel,13500.0
Volkswagen Golf,Compact,116819.0,Manuel,Electric/Gasoline,15600.0
Toyota Aygo,Compact,103667.0,Semi-automatic,Gasoline,5250.0
Volkswagen Touran,Van,156575.0,Manuel,Diesel,11699.0
Volkswagen ID.4,Off-Road/Pick-up,10.0,Automatic,Electric,48585.0
Opel Zafira Tourer,Transporter,112500.0,Automatic,Gasoline,8950.0
Toyota Auris,Station wagon,124152.0,Automatic,Electric/Gasoline,11850.0
Volkswagen Passat Variant,Station wagon,172756.0,Manuel,Electric/Gasoline,18124.0
Volkswagen up!,Compact,132487.0,Manuel,Gasoline,5395.0
Toyota Auris,Compact,95394.0,Automatic,Electric/Gasoline,10900.0
Honda Civic,Compact,80691.0,Automatic,Gasoline,20905.0
Volkswagen Tiguan,Off-Road/Pick-up,54999.0,Automatic,Gasoline,19999.0
Opel Insignia,Compact,5.0,Manuel,Gasoline,49999.0
Toyota Prius+,Van,,Automatic,Electric/Gasoline,20445.0
Toyota RAV 4,Off-Road/Pick-up,38868.0,Manuel,Gasoline,32900.0
Opel Grandland X,Off-Road/Pick-up,32237.0,Automatic,Gasoline,25696.0
Opel Meriva,Van,101663.0,Manuel,Gasoline,7940.0
Volkswagen Golf,Station wagon,195000.0,Automatic,Gasoline,10250.0
Honda Jazz,Compact,11.0,Manuel,Electric/Gasoline,25990.0
Opel Corsa,Compact,1.0,Automatic,Electric,27075.0
Tesla Model S,Compact,51448.0,Automatic,Electric,84999.0
Toyota C-HR,Off-Road/Pick-up,76546.0,Automatic,Electric/Gasoline,20950.0
